type, 1111, 2222, 3333, 4444, 5555, avg, squ
rnn, 88.54, 87.85, 86.81, 91.67, 88.54, 88.68, 2.63
0.0625, 94.44, 95.14, 93.06, 93.75, 93.4, 93.96, 0.56
0.125, 93.4, 93.4, 95.83, 94.1, 94.1, 94.17, 0.79
0.25, 93.06, 94.1, 95.49, 93.06, 92.71, 93.68, 1.03
0.375, 93.75, 93.4, 93.06, 94.1, 93.75, 93.61, 0.13
0.50, 94.44, 94.1, 94.44, 93.4, 93.4, 93.96, 0.22
0.625, 94.1, 94.1, 94.1, 94.1, 93.75, 94.03, 0.02
0.75, 94.44, 94.44, 94.1, 94.44, 95.49, 94.58, 0.22
0.875, 94.79, 94.1, 94.79, 94.44, 95.83, 94.79, 0.34
0.9375, 95.49, 94.79, 95.14, 94.1, 95.49, 95.0, 0.27
snn, 94.44, 94.44, 95.49, 93.4, 94.79, 94.51, 0.45

