type, 1111, 2222, 3333, 4444, 5555, avg, squ
rnn, 88.54, 87.85, 86.81, 91.67, 88.54, 88.68, 2.63
0.0625, 94.44, 94.44, 94.1, 92.71, 95.14, 94.17, 0.65
0.125, 94.1, 95.14, 95.14, 93.75, 95.83, 94.79, 0.58
0.25, 94.79, 95.14, 96.88, 94.1, 95.49, 95.28, 0.85
0.375, 95.14, 94.79, 96.53, 94.79, 95.49, 95.35, 0.41
0.50, 95.49, 95.49, 97.92, 95.49, 95.83, 96.04, 0.9
0.625, 96.18, 96.53, 97.92, 96.53, 95.83, 96.6, 0.5
0.75, 95.83, 96.88, 98.26, 95.83, 96.18, 96.6, 0.84
0.875, 96.18, 96.18, 97.22, 95.14, 96.18, 96.18, 0.43
0.9375, 95.83, 96.53, 96.88, 94.79, 96.18, 96.04, 0.51
snn, 94.44, 94.44, 95.49, 93.4, 94.79, 94.51, 0.45

