type, 1111, 2222, 3333, 4444, avg, squ
rnn, 103.07, 102.76, 101.93, 102.75, 102.63, 0.18
0.1, 97.65, 96.73, 96.5, 97.11, 97.0, 0.19
0.2, 98.85, 97.83, 97.33, 98.26, 98.07, 0.31
0.3, 99.47, 98.36, 97.82, 98.78, 98.61, 0.36
0.4, 100.04, 99.08, 98.64, 99.38, 99.28, 0.26
0.50, 100.33, 99.06, 99.08, 99.74, 99.55, 0.28
0.6, 100.67, 99.19, 99.85, 99.59, 99.83, 0.29
0.7, 101.01, 99.73, 100.89, 100.4, 100.51, 0.25
0.8, 102.06, 101.28, 102.76, 101.74, 101.96, 0.29
0.9, 105.9, 105.48, 106.43, 106.05, 105.97, 0.12
snn, 122.73, 122.73, 123.41, 123.49, 123.09, 0.13

