type, 1111, 2222, 3333, 4444, 5555, avg, squ
rnn, 98.64, 98.6, 98.69, 98.63, 98.62, 98.64, 0.0
0.05, 98.73, 98.75, 98.71, 98.71, 98.58, 98.7, 0.0
0.15, 98.78, 98.53, 98.73, 98.73, 98.63, 98.68, 0.01
0.25, 98.58, 98.65, 98.83, 98.64, 98.68, 98.68, 0.01
0.35, 98.75, 98.76, 98.54, 98.44, 98.71, 98.64, 0.02
0.45, 98.6, 98.83, 98.74, 98.48, 98.66, 98.66, 0.01
0.50, 98.68, 98.69, 98.67, 98.64, 98.65, 98.67, 0.0
0.55, 98.76, 98.74, 98.7, 98.74, 98.68, 98.72, 0.0
0.65, 98.72, 98.63, 98.82, 98.65, 98.68, 98.7, 0.0
0.75, 98.63, 98.69, 98.71, 98.5, 98.71, 98.65, 0.01
0.85, 98.66, 98.52, 98.66, 98.68, 98.64, 98.63, 0.0
0.95, 98.64, 98.59, 98.53, 98.43, 98.46, 98.53, 0.01
snn, 98.15, 98.19, 98.09, 98.2, 98.2, 98.17, 0.0

